"DIRECTORIO";"HOGAR_NUMERO";"PERSONA_NUMERO";"REGION";"sexo";"estrato";"no_identifica_x_escándalos_corrupcion";"conteo_transparente_colombia"
112214;1;1;"Caribe";"Hombre";"Estrato 3";NA;"No"
112214;1;2;"Caribe";"Mujer";"Estrato 3";"Sí";"No"
112214;1;3;"Caribe";"Mujer";"Estrato 3";"Sí";"No"
112214;1;4;"Caribe";"Hombre";"Estrato 3";"Sí";"No"
112215;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
112215;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
112216;1;1;"Caribe";"Mujer";"Estrato 3";"Sí";NA
112216;1;2;"Caribe";"Hombre";"Estrato 3";"No";"No"
112217;1;1;"Caribe";"Mujer";"Estrato 3";"No";"Sí"
112217;1;2;"Caribe";"Hombre";"Estrato 3";"No";NA
112217;1;4;"Caribe";"Mujer";"Estrato 3";"No";NA
112217;1;5;"Caribe";"Mujer";"Estrato 3";"No";"Sí"
112218;1;1;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
112218;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";NA
112218;1;6;"Caribe";"Mujer";"Estrato 1";NA;"Sí"
112219;1;1;"Caribe";"Mujer";"Estrato 1";NA;NA
112219;1;2;"Caribe";"Mujer";"Estrato 1";NA;NA
112220;1;1;"Caribe";"Mujer";"Estrato 1";"No";NA
112220;1;2;"Caribe";"Hombre";"Estrato 1";"No";NA
112220;1;3;"Caribe";"Hombre";"Estrato 1";"No";NA
112220;1;4;"Caribe";"Mujer";"Estrato 1";"No";NA
112220;1;5;"Caribe";"Hombre";"Estrato 1";"Sí";NA
112221;1;1;"Caribe";"Mujer";"Estrato 1";NA;NA
112222;1;1;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
112222;1;2;"Caribe";"Mujer";"Estrato 1";NA;"Sí"
112223;1;1;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
112223;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
112223;1;3;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
112224;1;1;"Caribe";"Hombre";"Estrato 1";NA;"Sí"
112224;1;2;"Caribe";"Mujer";"Estrato 1";NA;"Sí"
112225;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
112225;1;2;"Caribe";"Hombre";"Estrato 2";NA;"No"
112226;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"Sí"
112226;1;2;"Caribe";"Mujer";"Estrato 2";"No";"No"
112226;1;3;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
112226;1;4;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
112227;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
112227;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
112228;1;1;"Caribe";"Hombre";"Estrato 2";NA;"No"
112228;1;2;"Caribe";"Mujer";"Estrato 2";"No";"Sí"
112228;1;3;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
112229;1;1;"Caribe";"Hombre";"Estrato 2";NA;"No"
112229;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";NA
112230;1;1;"Caribe";"Mujer";"Estrato 2";"No";"No"
112230;1;2;"Caribe";"Mujer";"Estrato 2";"No";"No"
112231;1;1;"Caribe";"Mujer";"Estrato 2";"No";NA
112231;1;2;"Caribe";"Hombre";"Estrato 2";"No";NA
112231;1;4;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
112231;2;1;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
112232;1;1;"Caribe";"Hombre";"Estrato 1";NA;NA
112232;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";NA
112233;1;1;"Caribe";"Mujer";"Estrato 1";"No";"No"
112233;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112234;1;1;"Caribe";"Hombre";"Estrato 1";NA;NA
112234;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
